toolName,toolCategory,status,bg,percentage,common,toolDataOrigin,subStatus,lastActiveTime
BCN1078_NTM_L20,Print,Active,#008000,%,NULL,cmyk,Active,9 min,
BCN1097_NTM_L17L18,Print,Active,#008000,%,NULL,cmyk,Active,3 min,
BCN1106_NTM_L17,Print,IDLE,#cc3300,%,NULL,cmyk,26 weeks,264843 min,
BCN2017_NTM_L21L22,Print,Active,#008000,%,NULL,cmyk,Active,3 min,
BCN2021_NTM_L21,Print,Active,#008000,%,NULL,cmyk,Active,4 min,
BCN2025_NTM_L22,Print,Active,#008000,%,NULL,cmyk,Active,6 min,
BCN2070_NTM_L19,Print,Active,#008000,%,NULL,cmyk,Active,1 min,
BCN2073_NTM_L22_4,Print,Active,#008000,%,NULL,cmyk,Active,6 min,
BCN2074_NTM_L19L20,Print,Active,#008000,%,NULL,cmyk,Active,3 min,
BCN2077_NTM_L22_3,Print,Active,#008000,%,NULL,cmyk,Active,5 min,
BCN2082_NTM_L18,Print,Active,#008000,%,NULL,cmyk,Active,12 min,
BCN2085_NTM_L22-2,Print,Active,#008000,%,NULL,cmyk,Active,4 min,
BCN2020_NTM_L22_5,Print,Active,#008000,%,NULL,cmyk,Active,3 min,
BCN1098_PTM_L17,Print,IDLE,#cc3300,%,NULL,cmyk,Active,1010 min,
BCN2030_PTM_L22_3,Print,Active,#008000,%,NULL,cmyk,Active,4 min,
BCN2035_PTM_L22_5,Print,Active,#008000,%,NULL,cmyk,Active,4 min,
BCN2038_PTM_L22_4,Print,IDLE,#cc3300,%,NULL,cmyk,Active,91 min,
BCN2042_PTM_L19,Print,Active,#008000,%,NULL,cmyk,Active,0 min,
BCN2046_PTM_L19L20,Print,Active,#008000,%,NULL,cmyk,Active,4 min,
BCN2050_PTM_L20,Print,Active,#008000,%,NULL,cmyk,Active,41 min,
BCN2068_PTM_L21L22,Print,Active,#008000,%,NULL,cmyk,Active,4 min,
BCN2072_PTM_L22,Print,Active,#008000,%,NULL,cmyk,Active,4 min,
BCN2089_PTM_L22-2,Print,Active,#008000,%,NULL,cmyk,Active,3 min,
BCN2090_PTM_L17L18,Print,Active,#008000,%,NULL,cmyk,Active,3 min,
BCN2094_PTM_L18,Print,Active,#008000,%,NULL,cmyk,Active,1 min,
BCN2107_PTM_L21,Print,Active,#008000,%,NULL,cmyk,Active,4 min,
BCN1099_PLM_L18,Print,Active,#008000,%,NULL,cmyk,Active,1 min,
BCN1101_PLM_L17,Print,Active,#008000,%,NULL,cmyk,Active,3 min,
BCN1102_PLM_L17L18,Print,Active,#008000,%,NULL,cmyk,Active,45 min,
BCN2059_PLM_L22_3,Print,IDLE,#cc3300,%,NULL,cmyk,Active,190 min,
BCN2076_PLM_L21L22,Print,Active,#008000,%,NULL,cmyk,Active,6 min,
BCN2080_PLM_L21,Print,IDLE,#cc3300,%,NULL,cmyk,25 weeks,257143 min,
BCN2084_PLM_L19L20,Print,Active,#008000,%,NULL,cmyk,Active,2 min,
BCN2087_PLM_L22_4,Print,Active,#008000,%,NULL,cmyk,Active,0 min,
BCN2088_PLM_L20,Print,Active,#008000,%,NULL,cmyk,Active,2 min,
BCN2091_PLM_L22-2,Print,Active,#008000,%,NULL,cmyk,Active,6 min,
BCN2092_PLM_L22,Print,Active,#008000,%,NULL,cmyk,Active,4 min,
BCN2095_PLM_L19,Print,Active,#008000,%,NULL,cmyk,Active,3 min,
BCN2099_PLM_L22_5,Print,Active,#008000,%,NULL,cmyk,Active,6 min,
ALTC3012_ECTR_L22_2,Print,NO DATA,#808896,%,NULL,edgecoat,MISSING,1000000 min,
ALTC4026_ECTR_L17,Print,Active,#008000,%,NULL,edgecoat,Active,26 min,
ALTC4027_ECTR_L17L18,Print,Active,#008000,%,NULL,edgecoat,Active,14 min,
ALTC4028_ECTR_L18,Print,IDLE,#cc3300,%,NULL,edgecoat,3 weeks,39675 min,
ALTC4029_ECTR_L19,Print,Active,#008000,%,NULL,edgecoat,Active,47 min,
ALTC4030_ECTR_L19L20,Print,Active,#008000,%,NULL,edgecoat,Active,19 min,
ALTC4031_ECTR_L20,Print,Active,#008000,%,NULL,edgecoat,Active,51 min,
ALTC4032_ECTR_L21L22,Print,Active,#008000,%,NULL,edgecoat,Active,28 min,
RENA4029_ETCHBCK_L17L18L19,Wet,IDLE,#cc3300,%,NULL,etchback,Active,526 min,
RENA4032_ETCHBCK_L20L21L22,Wet,IDLE,#cc3300,%,NULL,etchback,Active,496 min,
INNOLAS2005_LCM_L17L18,Print,IDLE,#cc3300,%,NULL,lcm,Active,916 min,
INNOLAS2006_LCM_L19L20,Print,IDLE,#cc3300,%,NULL,lcm,Active,251 min,
INNOLAS3012_LCM_L22_2,Print,IDLE,#cc3300,%,NULL,lcm,Active,134 min,
INNOLAS4019_LCM_L17,Print,IDLE,#cc3300,%,NULL,lcm,Active,709 min,
INNOLAS4020_LCM_L18,Print,IDLE,#cc3300,%,NULL,lcm,Active,704 min,
INNOLAS4021_LCM_L19,Print,IDLE,#cc3300,%,NULL,lcm,Active,166 min,
INNOLAS4022_LCM_L20,Print,IDLE,#cc3300,%,NULL,lcm,Active,88 min,
INNOLAS4023_LCM_L21,Print,IDLE,#cc3300,%,NULL,lcm,Active,129 min,
INNOLAS4024_LCM_L22,Print,IDLE,#cc3300,%,NULL,lcm,Active,140 min,
RENA4027_NOXE_L17L18,Wet,IDLE,#cc3300,%,NULL,noxetoxe,26 weeks,269890 min,
RENA4030_NOXE_L19L20,Wet,IDLE,#cc3300,%,NULL,noxetoxe,27 weeks,275521 min,
RENA4031_NOXE_L21L22,Wet,IDLE,#cc3300,%,NULL,noxetoxe,19 weeks,199322 min,
RENA2016_TOXE_L21L22,Wet,IDLE,#cc3300,%,NULL,noxetoxe,1 weeks,13569 min,
RENA2025_TOXE_L19L20,Wet,IDLE,#cc3300,%,NULL,noxetoxe,35 weeks,355727 min,
RENA4028_TOXE_L17L18,Wet,IDLE,#cc3300,%,NULL,noxetoxe,Active,613 min,
OLT4003_ARC_BARC_L17,Hot,IDLE,#cc3300,%,NULL,olt,Active,121 min,
OLT4004_ARC_BARC_L17L18,Hot,IDLE,#cc3300,%,NULL,olt,Active,99 min,
OLT4005_ARC_BARC_L18,Hot,IDLE,#cc3300,%,NULL,olt,Active,192 min,
OLT4006_ARC_BARC_L19,Hot,Active,#008000,%,NULL,olt,Active,41 min,
OLT4007_ARC_BARC_L19L20,Hot,IDLE,#cc3300,%,NULL,olt,Active,1385 min,
OLT4008_ARC_BARC_L20,Hot,Active,#008000,%,NULL,olt,Active,44 min,
OLT4009_ARC_BARC_L21,Hot,Active,#cc3300,%,NULL,olt,Active,61 min,
OLT4010_ARC_BARC_L21L22,Hot,IDLE,#cc3300,%,NULL,olt,Active,122 min,
OLT4011_ARC_BARC_L22,Hot,Active,#008000,%,NULL,olt,Active,56 min,
OLT4012_ARC_BARC_L22_2,Hot,IDLE,#cc3300,%,NULL,olt,Active,109 min,
OLT4003_ARC_BARC_L17,Hot,NO DATA,#808896,%,NULL,trace_olt,MISSING,1000000 min,
OLT4004_ARC_BARC_L17L18,Hot,NO DATA,#808896,%,NULL,trace_olt,MISSING,1000000 min,
OLT4005_ARC_BARC_L18,Hot,NO DATA,#808896,%,NULL,trace_olt,MISSING,1000000 min,
